experiment_name,missions_total,missions_completed,collisions_avoided,missed_collisions,total_dv,fuel_used_total,avg_response_time,avg_dv_per_mission,success_rate
2 OOS - 6 Sats,5,4,3,0,7.214590017299663,7.214590017299663,3480.0,0.07757623674515793,0.8
3 OOS - 6 Sats,4,4,4,0,2.5223534410335957,2.5223534410335957,2010.0,0.08136624003334178,1.0
4 OOS - 6 Sats,7,5,5,0,0.8910080455203188,0.8910080455203188,660.0,0.12728686364575983,1.0


4 OOS - 16 Sats,13,10,8,0,6.359640484146639,6.359640484146639,1200.0,0.09635818915373694,0.7692307692307693
6 OOS - 24 Sats,27,18,15,0,10.162838389123735,10.162838389123735,620.0,0.08686186657370729,0.6666666666666666
8 OOS - 32 Sats,33,26,22,0,17.54336128051709,17.54336128051709,1255.3846153846155,0.06773498563906245,0.7878787878787878


2 OOS - 3 Sats,3,3,3,0,17.301572172994177,17.301572172994177,4680.0,0.135168532601517,1.0
3 OOS - 6 Sats,6,6,6,0,26.905189320356776,26.905189320356776,3822.8571428571427,0.15462752482963668,1.0
4 OOS - 16 Sats,16,9,9,0,41.66467622458239,41.66467622458239,1822.5,0.0792104110733505,0.5714285714285714
6 OOS - 24 Sats,24,17,17,0,77.16214484981215,77.16214484981215,1805.0,0.1341950345214124,0.7058823529411765
8 OOS - 32 Sats,32,18,18,0,56.366769066172836,56.366769066172836,1968.6486486486488,0.128106293332211,0.5522388059701493
